,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
3584,3585,139.0,2.0,USA,6000000.0,102300000.0,107408,259.0,145.0,0,55.0,382.0,279.0,266.0,2045,7.8,Good
1985,1986,110.0,1.0,USA,25000000.0,10324441.0,27117,140.0,190.0,7000,37.0,10000.0,826.0,268.0,11431,5.8,Fair
3425,3426,96.0,6.0,USA,8000000.0,,1965,24.0,21.0,438,2.0,31000.0,920.0,600.0,33858,4.6,Fair
2205,2206,104.0,0.0,USA,20000000.0,33422556.0,99236,321.0,293.0,0,53.0,22000.0,11000.0,652.0,33903,7.5,Good
4834,4835,110.0,1.0,France,300000.0,,19386,74.0,96.0,2000,0.0,710.0,257.0,0.0,967,7.7,Good
1761,1762,110.0,1.0,USA,21000000.0,52353636.0,209133,962.0,220.0,0,0.0,13000.0,1000.0,327.0,14609,7.6,Good
2709,2710,99.0,1.0,USA,,,1465,56.0,,515,45.0,1000.0,393.0,224.0,2166,7.4,Good
2640,2641,123.0,0.0,UK,15000000.0,35887263.0,265507,388.0,419.0,90000,120.0,13000.0,876.0,149.0,14100,7.7,Good
2934,2935,93.0,1.0,USA,12000000.0,37188667.0,34219,578.0,111.0,0,33.0,1000.0,188.0,135.0,1531,3.3,Bad
3567,3568,100.0,2.0,USA,6500000.0,2024854.0,564,21.0,4.0,19,0.0,1000.0,373.0,266.0,1942,6.6,Good
3169,3170,103.0,0.0,USA,100000000.0,67631157.0,176606,374.0,321.0,25000,207.0,40000.0,11000.0,3000.0,55175,6.0,Fair
3860,3861,99.0,1.0,UK,2500000.0,92191.0,29463,84.0,54.0,0,0.0,26000.0,1000.0,798.0,29325,6.5,Good
701,702,116.0,0.0,France,62000000.0,77086030.0,65297,602.0,178.0,0,84.0,11000.0,919.0,563.0,14931,6.6,Good
171,172,128.0,2.0,UK,135000000.0,126930660.0,157519,683.0,197.0,2000,150.0,766.0,536.0,244.0,2037,6.4,Good
4003,4004,81.0,0.0,USA,3000000.0,3293258.0,11399,131.0,31.0,0,0.0,560.0,555.0,542.0,2238,5.2,Fair
3703,3704,108.0,1.0,USA,5000000.0,43771291.0,79916,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
71,72,112.0,2.0,USA,145000000.0,102176165.0,117927,501.0,264.0,0,357.0,5000.0,3000.0,595.0,9131,5.2,Fair
3314,3315,97.0,3.0,USA,9000000.0,883887.0,1201,14.0,26.0,0,3.0,679.0,537.0,204.0,1426,6.2,Good
2886,2887,115.0,4.0,UK,20000000.0,403932.0,5254,92.0,71.0,141,187.0,14000.0,900.0,887.0,17104,6.5,Good
1167,1168,120.0,1.0,USA,42000000.0,24375436.0,42547,265.0,151.0,748,17.0,22000.0,9000.0,808.0,33585,6.1,Good
353,354,98.0,1.0,USA,100000000.0,81557479.0,149947,326.0,316.0,18000,12000.0,18000.0,3000.0,1000.0,25780,6.8,Good
3156,3157,104.0,0.0,USA,10000000.0,12514138.0,2801,28.0,16.0,1000,28.0,962.0,826.0,582.0,3871,7.4,Good
2241,2242,108.0,2.0,USA,806947.0,32000000.0,422432,1040.0,290.0,18000,13000.0,606.0,332.0,285.0,1885,8.5,Excellent
4328,4329,88.0,0.0,USA,2000000.0,,2701,31.0,21.0,153,0.0,633.0,597.0,332.0,2620,4.9,Fair
1220,1221,102.0,1.0,USA,20000000.0,64149837.0,146899,185.0,191.0,0,23.0,2000.0,2000.0,651.0,7009,6.4,Good
3524,3525,95.0,1.0,USA,10000000.0,306715.0,5143,62.0,12.0,724,43.0,1000.0,788.0,611.0,5213,2.3,Bad
3388,3389,92.0,1.0,USA,8000000.0,58401464.0,276746,264.0,262.0,19000,87.0,15000.0,1000.0,424.0,16982,7.1,Good
3539,3540,115.0,0.0,USA,6900000.0,41400000.0,39451,138.0,38.0,0,16000.0,16000.0,455.0,240.0,17209,7.3,Good
580,581,106.0,0.0,USA,72000000.0,227965690.0,271592,2335.0,208.0,0,0.0,710.0,529.0,242.0,1675,6.7,Good
363,364,158.0,1.0,USA,90000000.0,102515793.0,330152,632.0,517.0,54000,21000.0,18000.0,1000.0,585.0,20388,7.8,Good
1100,1101,109.0,0.0,USA,50000000.0,51019112.0,155745,1053.0,276.0,10000,37.0,11000.0,2000.0,651.0,14073,6.8,Good
1011,1012,100.0,5.0,USA,40000000.0,19118247.0,19829,94.0,59.0,779,65.0,1000.0,923.0,730.0,6171,5.4,Fair
2550,2551,112.0,0.0,Spain,13500000.0,37623143.0,467234,1083.0,406.0,27000,0.0,634.0,269.0,250.0,1322,8.2,Excellent
4282,4283,101.0,3.0,USA,2000000.0,1984378.0,27346,206.0,160.0,0,263.0,71.0,51.0,37.0,226,6.5,Good
3491,3492,95.0,1.0,USA,7000000.0,14003141.0,4598,29.0,28.0,375,48.0,1000.0,865.0,826.0,4837,6.1,Good
2742,2743,103.0,0.0,USA,15000000.0,73548.0,47574,209.0,177.0,0,129.0,14000.0,1000.0,1000.0,18639,6.1,Good
517,518,92.0,0.0,USA,76000000.0,26000610.0,16611,197.0,49.0,413,5.0,22000.0,1000.0,924.0,28050,4.1,Fair
1235,1236,139.0,0.0,USA,40000000.0,50859889.0,236000,1043.0,283.0,14000,0.0,708.0,78.0,19.0,848,7.8,Good
2720,2721,103.0,2.0,USA,15000000.0,4235837.0,175962,336.0,223.0,0,1000.0,21000.0,1000.0,611.0,23932,7.6,Good
3716,3717,104.0,0.0,USA,5000000.0,27689474.0,85688,339.0,336.0,23000,59.0,972.0,407.0,202.0,2071,6.5,Good
1714,1715,118.0,2.0,USA,30000000.0,10880926.0,54147,127.0,217.0,0,76.0,3000.0,678.0,174.0,4253,6.5,Good
2873,2874,93.0,1.0,UK,13000000.0,4919896.0,21530,159.0,111.0,618,16.0,567.0,326.0,258.0,1775,6.1,Good
4571,4572,167.0,3.0,India,1000000.0,610991.0,2715,19.0,1.0,92,10.0,353.0,186.0,97.0,773,6.2,Good
3994,3995,116.0,0.0,UK,2000000.0,,30982,199.0,110.0,0,13000.0,195.0,146.0,118.0,771,7.5,Good
3925,3926,94.0,3.0,USA,4000000.0,2800000.0,4377,85.0,45.0,309,24.0,834.0,625.0,545.0,2662,5.8,Fair
4872,4873,81.0,0.0,USA,250000.0,18195.0,336,7.0,8.0,67,0.0,119.0,24.0,5.0,154,6.3,Good
3742,3743,135.0,2.0,USA,5000000.0,13269963.0,23202,173.0,68.0,0,407.0,11000.0,189.0,111.0,11400,7.6,Good
4511,4512,97.0,1.0,USA,1200000.0,,1172,27.0,30.0,477,282.0,586.0,434.0,148.0,1581,6.6,Good
2386,2387,97.0,8.0,Canada,15000000.0,20433940.0,78883,662.0,252.0,0,0.0,654.0,529.0,233.0,1876,6.2,Good
3295,3296,137.0,1.0,UK,9000000.0,10161099.0,23441,108.0,46.0,0,0.0,591.0,520.0,130.0,1341,7.7,Good
2311,2312,116.0,2.0,USA,20000000.0,6002756.0,24997,75.0,116.0,13000,150.0,18000.0,1000.0,956.0,21200,7.2,Good
2696,2697,107.0,3.0,USA,15000000.0,15608545.0,53471,224.0,208.0,29000,561.0,746.0,561.0,353.0,2377,5.4,Fair
2867,2868,95.0,4.0,USA,13000000.0,7881335.0,21212,107.0,52.0,3000,0.0,899.0,849.0,650.0,3092,6.7,Good
2213,2214,91.0,0.0,USA,35000000.0,30079316.0,75920,474.0,156.0,0,17.0,534.0,385.0,78.0,1083,5.5,Fair
1061,1062,75.0,3.0,USA,47000000.0,15519841.0,8693,71.0,93.0,261,0.0,4000.0,769.0,677.0,6863,4.5,Fair
2948,2949,102.0,10.0,USA,12000000.0,25277561.0,21672,93.0,161.0,0,0.0,3000.0,966.0,555.0,5592,6.5,Good
4931,4932,88.0,0.0,USA,1200000.0,110720.0,524,22.0,18.0,73,14.0,142.0,23.0,3.0,168,7.3,Good
49,50,143.0,4.0,Australia,105000000.0,144812796.0,362912,753.0,490.0,115000,1000.0,29000.0,509.0,77.0,29770,7.3,Good
2535,2536,120.0,1.0,UK,16500000.0,18663911.0,46204,151.0,150.0,0,11.0,11000.0,838.0,281.0,12554,7.1,Good
1987,1988,88.0,1.0,USA,17000000.0,9286314.0,4972,62.0,27.0,0,22.0,174.0,132.0,120.0,583,5.9,Fair
960,961,114.0,2.0,USA,50000000.0,60470220.0,81444,192.0,165.0,955,71.0,154.0,131.0,55.0,428,6.2,Good
153,154,95.0,0.0,USA,145000000.0,143523463.0,64322,145.0,210.0,24000,5.0,24000.0,11000.0,967.0,36095,7.2,Good
2525,2526,120.0,1.0,France,17000000.0,106869.0,13762,39.0,106.0,0,30.0,14000.0,287.0,55.0,14492,6.6,Good
4871,4872,101.0,0.0,UK,,,70076,120.0,77.0,14000,17.0,766.0,438.0,289.0,2123,6.9,Good
4491,4492,99.0,0.0,USA,1200000.0,,24891,150.0,73.0,0,13000.0,282.0,255.0,232.0,1041,7.2,Good
3081,3082,97.0,1.0,Canada,12500000.0,,1337,28.0,17.0,392,4.0,882.0,450.0,194.0,1554,6.3,Good
2733,2734,145.0,1.0,Germany,6000000.0,26435.0,111841,413.0,260.0,12000,756.0,136.0,23.0,18.0,203,8.3,Excellent
4443,4444,102.0,,USA,2000000.0,,108,1.0,,232,5.0,3000.0,660.0,259.0,4320,8.2,Excellent
2802,2803,137.0,0.0,USA,26000000.0,5459824.0,92781,320.0,251.0,5000,143.0,14000.0,617.0,280.0,15337,7.6,Good
4095,4096,94.0,0.0,USA,3000000.0,,37594,181.0,112.0,0,0.0,820.0,350.0,180.0,1618,8.0,Good
3747,3748,86.0,0.0,USA,5000000.0,17683670.0,47227,323.0,228.0,0,17.0,520.0,270.0,205.0,1520,5.2,Fair
302,303,111.0,4.0,USA,150000000.0,34964818.0,39956,186.0,256.0,24000,456.0,20000.0,548.0,394.0,21393,5.8,Fair
1455,1456,103.0,0.0,USA,35000000.0,30669413.0,105478,291.0,119.0,0,81.0,2000.0,683.0,636.0,4722,6.2,Good
3197,3198,135.0,0.0,USA,10000000.0,2185266.0,8720,186.0,57.0,1000,0.0,1000.0,975.0,851.0,4266,6.5,Good
1372,1373,123.0,0.0,UK,38000000.0,26903709.0,312629,475.0,393.0,83000,2000.0,26000.0,10000.0,471.0,37206,8.1,Excellent
4705,4706,81.0,2.0,USA,609000.0,3000000.0,13269,98.0,66.0,1000,10.0,610.0,172.0,23.0,824,7.8,Good
392,393,140.0,0.0,USA,87000000.0,120147445.0,57661,455.0,175.0,0,378.0,12000.0,947.0,599.0,13808,7.3,Good
1398,1399,95.0,1.0,USA,33000000.0,205399422.0,181225,784.0,199.0,0,116.0,45000.0,645.0,481.0,47203,6.6,Good
4476,4477,96.0,0.0,USA,1250000.0,,7528,88.0,77.0,0,4.0,796.0,697.0,132.0,1866,5.5,Fair
2253,2254,68.0,0.0,USA,20000000.0,18081626.0,4180,32.0,45.0,264,0.0,304.0,286.0,253.0,861,6.4,Good
2542,2543,94.0,5.0,USA,15600000.0,68525609.0,132963,302.0,103.0,0,480.0,1000.0,490.0,486.0,3889,6.5,Good
2786,2787,91.0,0.0,UK,14000000.0,16298046.0,22207,747.0,125.0,0,31.0,874.0,613.0,50.0,1608,5.0,Fair
1765,1766,82.0,0.0,USA,28000000.0,49968653.0,85423,374.0,122.0,12000,23.0,11.0,9.0,6.0,37,6.9,Good
3947,3948,100.0,0.0,USA,4000000.0,,1555,40.0,19.0,98,137.0,4000.0,575.0,476.0,5796,5.0,Fair
4105,4106,110.0,0.0,USA,3500000.0,2848578.0,3942,65.0,19.0,0,13.0,439.0,399.0,221.0,1567,6.3,Good
1447,1448,150.0,0.0,France,35000000.0,32519322.0,497946,761.0,193.0,21000,2000.0,396.0,338.0,95.0,1075,8.5,Excellent
1399,1400,126.0,0.0,USA,35000000.0,251188924.0,269033,817.0,186.0,12000,13000.0,920.0,549.0,488.0,2725,7.6,Good
2872,2873,84.0,0.0,USA,13000000.0,5002310.0,25541,181.0,47.0,0,2.0,15000.0,816.0,690.0,18864,5.6,Fair
864,865,91.0,1.0,USA,55000000.0,55747724.0,18042,73.0,118.0,0,39.0,1000.0,591.0,562.0,3104,5.9,Fair
3621,3622,96.0,1.0,Germany,6000000.0,4394936.0,11439,190.0,35.0,901,3.0,4000.0,812.0,353.0,5668,5.3,Fair
2843,2844,100.0,4.0,USA,12500000.0,48637684.0,16979,42.0,90.0,0,38.0,833.0,807.0,460.0,2800,6.1,Good
3292,3293,116.0,2.0,USA,,90400000.0,102895,159.0,71.0,0,644.0,392.0,249.0,199.0,845,7.5,Good
1467,1468,123.0,0.0,UK,35000000.0,34531832.0,44788,138.0,219.0,23000,15.0,10000.0,979.0,745.0,13371,7.1,Good
799,800,118.0,0.0,USA,60000000.0,22451.0,41288,126.0,189.0,17000,167.0,20000.0,882.0,778.0,22447,6.2,Good
2292,2293,111.0,0.0,USA,20000000.0,9525276.0,60156,299.0,166.0,0,0.0,856.0,742.0,725.0,3309,6.8,Good
4346,4347,97.0,1.0,UK,,466702.0,65877,100.0,249.0,17000,0.0,920.0,680.0,594.0,3275,7.3,Good
2762,2763,119.0,0.0,USA,14000000.0,156645693.0,55101,201.0,94.0,3000,213.0,886.0,276.0,249.0,1639,6.9,Good
3310,3311,300.0,3.0,Thailand,400000000.0,454255.0,1666,47.0,31.0,124,6.0,7.0,6.0,6.0,32,6.6,Good
3803,3804,87.0,1.0,USA,5000000.0,,10734,80.0,19.0,887,65.0,866.0,738.0,686.0,3724,6.1,Good
3575,3576,121.0,2.0,Germany,4800000.0,4063859.0,114407,225.0,153.0,11000,31.0,65.0,51.0,43.0,200,7.7,Good
1641,1642,77.0,1.0,USA,40000000.0,53337608.0,188785,467.0,267.0,0,13000.0,40000.0,16000.0,973.0,60683,7.4,Good
2223,2224,105.0,6.0,USA,20000000.0,25677801.0,41273,136.0,91.0,0,99.0,2000.0,938.0,518.0,4813,5.8,Fair
3796,3797,94.0,,USA,5000000.0,65069140.0,65299,455.0,371.0,27000,0.0,432.0,309.0,99.0,1010,6.2,Good
4929,4930,78.0,2.0,USA,150000.0,2882062.0,5178,101.0,91.0,132,56.0,376.0,346.0,184.0,1144,6.3,Good
3312,3313,98.0,1.0,France,,,1673,1.0,17.0,348,0.0,186.0,41.0,5.0,253,6.1,Good
4765,4766,104.0,2.0,USA,500000.0,,2012,28.0,64.0,0,32.0,685.0,492.0,238.0,2102,3.5,Bad
3691,3692,98.0,1.0,Canada,6000000.0,795126.0,4976,52.0,47.0,989,12.0,393.0,259.0,149.0,955,7.6,Good
2416,2417,94.0,2.0,USA,25000000.0,30222640.0,36666,144.0,97.0,0,23.0,2000.0,1000.0,582.0,4868,5.3,Fair
1038,1039,127.0,5.0,USA,48000000.0,197171806.0,515306,477.0,149.0,0,14000.0,11000.0,844.0,440.0,12884,8.3,Excellent
3120,3121,98.0,2.0,USA,10000000.0,30306281.0,12388,147.0,92.0,744,7.0,931.0,797.0,73.0,1917,5.6,Fair
2484,2485,101.0,0.0,USA,17000000.0,96471845.0,268581,1109.0,239.0,20000,448.0,482.0,203.0,83.0,956,7.6,Good
893,894,92.0,3.0,USA,55000000.0,9483821.0,39247,131.0,279.0,10000,394.0,13000.0,11000.0,565.0,25418,5.7,Fair
562,563,91.0,0.0,USA,74000000.0,336029560.0,142403,275.0,308.0,70000,22.0,7000.0,4000.0,1000.0,13616,6.4,Good
1740,1741,99.0,2.0,Germany,29000000.0,16930185.0,14315,101.0,64.0,201,71.0,2000.0,719.0,584.0,4169,5.3,Fair
4454,4455,76.0,0.0,France,,231186.0,2082,16.0,92.0,389,412.0,412.0,4.0,3.0,421,6.3,Good
1537,1538,124.0,0.0,USA,32000000.0,34180954.0,189812,370.0,299.0,15000,335.0,14000.0,388.0,50.0,14504,7.6,Good
3082,3083,99.0,2.0,USA,10500000.0,125169.0,859,31.0,5.0,119,11.0,665.0,446.0,327.0,2272,6.4,Good
2610,2611,154.0,0.0,USA,15000000.0,94175854.0,60988,199.0,70.0,6000,14000.0,852.0,581.0,271.0,2592,7.8,Good
525,526,104.0,0.0,USA,75000000.0,157299717.0,452928,1401.0,290.0,0,0.0,20000.0,764.0,505.0,21397,7.4,Good
3952,3953,106.0,2.0,Brazil,4000000.0,20262.0,1738,10.0,70.0,278,19.0,585.0,29.0,9.0,629,6.1,Good
3288,3289,91.0,1.0,USA,9000000.0,20035310.0,12324,173.0,64.0,580,0.0,3000.0,683.0,407.0,4409,4.9,Fair
4601,4602,97.0,1.0,USA,1000000.0,62480.0,1048,7.0,36.0,793,4.0,446.0,171.0,150.0,928,5.5,Fair
2750,2751,105.0,0.0,Germany,15000000.0,,5018,108.0,26.0,473,93.0,179.0,55.0,51.0,363,4.9,Fair
1014,1015,110.0,3.0,USA,50000000.0,18472363.0,63599,208.0,120.0,0,134.0,23000.0,1000.0,795.0,25049,5.8,Fair
4575,4576,97.0,0.0,USA,1000000.0,464655.0,1524,29.0,28.0,166,4.0,611.0,394.0,301.0,1692,7.0,Good
950,951,95.0,2.0,USA,50000000.0,88658172.0,58412,242.0,143.0,2000,9.0,14000.0,11000.0,11000.0,37967,5.6,Fair
230,231,117.0,0.0,USA,100000000.0,58607007.0,182899,630.0,492.0,60000,294.0,10000.0,2000.0,1000.0,14161,6.2,Good
340,341,102.0,4.0,USA,95000000.0,17176900.0,54501,154.0,175.0,16000,44.0,12000.0,3000.0,766.0,17098,5.5,Fair
3612,3613,102.0,1.0,USA,6000000.0,11434867.0,59637,130.0,216.0,21000,49.0,24000.0,14000.0,10000.0,51355,7.1,Good
2075,2076,141.0,2.0,USA,23000000.0,16123851.0,17373,148.0,118.0,767,300.0,805.0,539.0,73.0,1618,6.2,Good
4862,4863,78.0,1.0,USA,150000.0,191309.0,2787,64.0,43.0,98,7.0,308.0,249.0,142.0,1008,5.5,Fair
803,804,122.0,0.0,USA,55000000.0,22362500.0,35599,195.0,115.0,641,2000.0,11000.0,1000.0,1000.0,15275,6.1,Good
4053,4054,120.0,2.0,Germany,4000000.0,21244913.0,123090,888.0,215.0,4000,909.0,909.0,504.0,184.0,1779,8.0,Good
4584,4585,96.0,1.0,UK,1000000.0,484221.0,23836,107.0,248.0,20000,50.0,3.0,3.0,0.0,6,8.2,Excellent
2840,2841,83.0,2.0,USA,13000000.0,46729374.0,116625,469.0,106.0,0,8.0,3000.0,934.0,612.0,6454,5.5,Fair
3508,3509,60.0,1.0,USA,,,25329,160.0,11.0,0,,10000.0,794.0,652.0,12051,7.4,Good
772,773,127.0,3.0,USA,,36965395.0,113295,235.0,252.0,0,162.0,18000.0,748.0,379.0,19776,7.1,Good
4961,4962,90.0,1.0,USA,40000.0,110536.0,4117,118.0,88.0,0,56.0,126.0,76.0,56.0,284,7.0,Good
2607,2608,107.0,1.0,USA,15000000.0,111936400.0,87538,79.0,27.0,0,425.0,742.0,384.0,247.0,2151,6.0,Fair
2371,2372,101.0,0.0,USA,20000000.0,39103378.0,93272,251.0,308.0,0,42.0,991.0,894.0,219.0,2609,6.5,Good
1733,1734,115.0,8.0,USA,29000000.0,183436380.0,97697,185.0,221.0,40000,0.0,10000.0,1000.0,751.0,13159,6.5,Good
3471,3472,121.0,3.0,UK,7000000.0,35400000.0,74957,251.0,136.0,0,82.0,581.0,547.0,189.0,1865,6.8,Good
2698,2699,96.0,1.0,USA,15000000.0,10494147.0,7403,162.0,44.0,648,4.0,989.0,841.0,670.0,3142,5.1,Fair
2239,2240,104.0,0.0,USA,20000000.0,20241395.0,42664,403.0,114.0,0,0.0,2000.0,1000.0,877.0,5123,6.1,Good
440,441,126.0,0.0,USA,80000000.0,162831698.0,215255,610.0,153.0,0,13000.0,920.0,811.0,390.0,2899,7.0,Good
5014,5015,100.0,0.0,USA,23000.0,1227508.0,15103,80.0,61.0,2000,0.0,5.0,0.0,0.0,5,7.1,Good
3484,3485,100.0,0.0,UK,3500000.0,26005908.0,154938,1100.0,342.0,10000,197.0,513.0,239.0,159.0,1379,7.2,Good
2964,2965,100.0,1.0,USA,12000000.0,12902790.0,4052,88.0,24.0,242,98.0,1000.0,849.0,604.0,3250,6.6,Good
3981,3982,25.0,5.0,USA,,,36265,147.0,55.0,0,,443.0,421.0,395.0,2195,8.4,Excellent
2557,2558,121.0,1.0,UK,8000000.0,23618786.0,352695,687.0,285.0,17000,1000.0,175.0,115.0,108.0,485,7.9,Good
1319,1320,107.0,1.0,USA,20000000.0,7564000.0,54650,223.0,79.0,12000,34.0,11000.0,922.0,472.0,13821,6.2,Good
3730,3731,106.0,0.0,USA,5000000.0,17382982.0,5975,33.0,9.0,0,23.0,1000.0,694.0,467.0,2840,5.2,Fair
2911,2912,108.0,5.0,Canada,15000000.0,1039869.0,14757,51.0,117.0,0,60.0,18000.0,322.0,168.0,18739,6.2,Good
2471,2472,90.0,1.0,Canada,11000000.0,,4693,49.0,45.0,0,78.0,2000.0,1000.0,720.0,4142,6.3,Good
1076,1077,93.0,0.0,USA,45000000.0,101702060.0,85323,212.0,201.0,0,40.0,14000.0,3000.0,311.0,17925,5.8,Fair
179,180,96.0,0.0,USA,135000000.0,83024900.0,62424,90.0,166.0,13000,13.0,16000.0,881.0,463.0,17416,6.5,Good
1454,1455,101.0,2.0,USA,35000000.0,30307804.0,43991,695.0,137.0,0,48.0,775.0,541.0,531.0,3001,5.2,Fair
3972,3973,92.0,3.0,USA,,,257,6.0,1.0,237,2.0,881.0,826.0,601.0,3229,7.3,Good
383,384,96.0,0.0,USA,90000000.0,143618384.0,165333,186.0,240.0,19000,107.0,11000.0,560.0,350.0,12071,7.0,Good
3358,3359,174.0,3.0,USA,8200000.0,163214286.0,148172,406.0,119.0,15000,338.0,354.0,209.0,195.0,1495,8.0,Good
2903,2904,101.0,2.0,USA,,,3256,44.0,7.0,337,19.0,490.0,185.0,135.0,1166,7.8,Good
1436,1437,100.0,0.0,UK,33000000.0,39532308.0,198701,1138.0,226.0,0,545.0,14000.0,2000.0,766.0,17902,6.7,Good
508,509,73.0,0.0,USA,45000000.0,422783777.0,644348,656.0,186.0,17000,28.0,2000.0,886.0,847.0,6458,8.5,Excellent
1451,1452,98.0,2.0,USA,27000000.0,33987757.0,168314,903.0,212.0,12000,0.0,20000.0,8000.0,23.0,28027,7.3,Good
3153,3154,76.0,0.0,USA,3000000.0,13684949.0,4564,43.0,33.0,227,14.0,1000.0,811.0,636.0,3752,5.9,Fair
4832,4833,80.0,1.0,USA,200000.0,856942.0,12241,112.0,189.0,0,129.0,375.0,44.0,26.0,460,7.1,Good
4778,4779,91.0,0.0,USA,475000.0,,19253,147.0,96.0,0,6.0,488.0,11.0,10.0,553,6.2,Good
2456,2457,108.0,2.0,USA,18000000.0,3203044.0,25165,155.0,128.0,827,11000.0,11000.0,944.0,922.0,14843,6.4,Good
1787,1788,107.0,2.0,USA,28000000.0,6998324.0,11476,50.0,125.0,0,234.0,1000.0,962.0,660.0,3944,6.1,Good
1745,1746,94.0,0.0,USA,29000000.0,6301131.0,92850,263.0,161.0,0,11.0,1000.0,948.0,566.0,5085,7.1,Good
4685,4686,95.0,0.0,USA,750000.0,,851,30.0,8.0,128,3.0,717.0,134.0,118.0,1117,3.1,Bad
3815,3816,88.0,2.0,USA,5000000.0,,8,,,49,14.0,784.0,763.0,668.0,3021,8.6,Excellent
4278,4279,101.0,0.0,USA,2000000.0,2506446.0,8662,172.0,108.0,134,0.0,8000.0,724.0,685.0,11327,4.7,Fair
2220,2221,101.0,1.0,USA,20000000.0,53146000.0,9845,77.0,31.0,613,154.0,1000.0,816.0,497.0,3174,6.1,Good
867,868,122.0,2.0,UK,55000000.0,41609593.0,145422,572.0,149.0,0,287.0,22000.0,2000.0,135.0,24270,7.3,Good
4219,4220,97.0,0.0,USA,,565592.0,2189,63.0,15.0,500,23.0,982.0,599.0,326.0,2580,6.8,Good
296,297,91.0,0.0,USA,100000000.0,100117603.0,102933,230.0,80.0,0,21.0,2000.0,700.0,542.0,4842,6.9,Good
4009,4010,98.0,4.0,USA,3500000.0,101228.0,7228,53.0,50.0,414,9.0,11000.0,8000.0,405.0,20009,6.4,Good
146,147,196.0,2.0,USA,175000000.0,133228348.0,381672,1694.0,220.0,0,249.0,11000.0,5000.0,844.0,17944,7.2,Good
1801,1802,42.0,2.0,USA,,,38177,131.0,7.0,11000,,766.0,638.0,535.0,2707,7.9,Good
228,229,109.0,0.0,USA,115000000.0,93050117.0,338087,814.0,476.0,61000,662.0,13000.0,2000.0,1000.0,17689,6.6,Good
1080,1081,97.0,1.0,USA,45000000.0,93452056.0,184795,310.0,207.0,22000,0.0,11000.0,2000.0,760.0,14868,7.4,Good
3493,3494,105.0,0.0,USA,7000000.0,12583510.0,60709,922.0,202.0,0,0.0,1000.0,340.0,303.0,2444,6.0,Fair
252,253,142.0,1.0,USA,110000000.0,113330342.0,207613,1144.0,192.0,4000,776.0,13000.0,2000.0,1000.0,19454,7.1,Good
4124,4125,86.0,0.0,Ireland,,128937.0,2437,31.0,90.0,580,0.0,767.0,122.0,77.0,975,6.2,Good
1273,1274,107.0,0.0,USA,40000000.0,29374178.0,12093,188.0,100.0,394,55.0,3000.0,941.0,294.0,4565,5.1,Fair
3625,3626,93.0,0.0,USA,,,522,5.0,12.0,84,10.0,397.0,77.0,34.0,546,5.4,Fair
