,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1898,1899,100.0,0.0,USA,25000000.0,52528330.0,4265,27.0,24.0,0,0.0,975.0,521.0,400.0,3202,4.7,Fair
1477,1478,118.0,0.0,USA,35000000.0,17609982.0,90046,141.0,224.0,17000,138.0,26000.0,968.0,458.0,28479,6.2,Good
4620,4621,90.0,1.0,USA,1000000.0,,982,12.0,21.0,370,0.0,898.0,395.0,360.0,2116,5.7,Fair
1686,1687,99.0,1.0,USA,30000000.0,17266505.0,43764,291.0,181.0,0,11.0,19000.0,953.0,762.0,22554,5.4,Fair
3415,3416,99.0,4.0,USA,8000000.0,127144.0,5159,27.0,32.0,143,387.0,8000.0,489.0,399.0,9608,5.5,Fair
256,257,170.0,0.0,USA,110000000.0,102608827.0,264318,799.0,267.0,0,17000.0,29000.0,3000.0,827.0,34582,7.5,Good
2893,2894,102.0,0.0,France,13000000.0,2035566.0,77305,162.0,242.0,11000,43.0,170.0,157.0,113.0,931,6.6,Good
2874,2875,93.0,0.0,USA,13000000.0,25675765.0,60407,84.0,168.0,11000,24.0,552.0,528.0,499.0,2730,5.9,Fair
1798,1799,164.0,0.0,UK,16000000.0,26400000.0,12980,89.0,52.0,845,767.0,358.0,223.0,162.0,1334,7.4,Good
2540,2541,89.0,0.0,USA,16000000.0,92823600.0,149108,273.0,114.0,0,0.0,227.0,73.0,62.0,485,7.6,Good
4626,4627,90.0,2.0,Canada,1000000.0,,137,16.0,16.0,48,0.0,57.0,40.0,36.0,231,5.4,Fair
3578,3579,55.0,5.0,Italy,,,9638,25.0,10.0,0,,18.0,9.0,5.0,39,8.7,Excellent
3409,3410,108.0,2.0,USA,8000000.0,568695.0,16617,110.0,74.0,412,12.0,2000.0,844.0,710.0,3921,6.5,Good
697,698,212.0,0.0,USA,63000000.0,25052000.0,35314,145.0,40.0,0,759.0,2000.0,925.0,812.0,5708,6.6,Good
4223,4224,90.0,0.0,USA,2300000.0,,19650,62.0,17.0,0,115.0,11000.0,516.0,385.0,12359,7.3,Good
915,916,107.0,5.0,USA,50000000.0,80270227.0,66382,612.0,144.0,0,422.0,631.0,534.0,379.0,2297,5.1,Fair
4491,4492,99.0,0.0,USA,1200000.0,,24891,150.0,73.0,0,13000.0,282.0,255.0,232.0,1041,7.2,Good
4064,4065,86.0,0.0,USA,3000000.0,19472057.0,25332,307.0,158.0,0,41.0,956.0,316.0,155.0,1862,5.9,Fair
407,408,138.0,3.0,USA,85000000.0,63224849.0,182757,483.0,157.0,19000,278.0,14000.0,3000.0,213.0,17423,6.9,Good
4359,4360,118.0,0.0,Mexico,1800000.0,5709616.0,11088,110.0,85.0,544,12.0,201.0,163.0,67.0,546,6.8,Good
3443,3444,102.0,3.0,Canada,7500000.0,4239767.0,3709,83.0,9.0,0,329.0,611.0,329.0,280.0,1834,6.0,Fair
2754,2755,101.0,1.0,USA,14600000.0,70906973.0,437418,609.0,147.0,38000,11000.0,13000.0,571.0,512.0,15500,8.1,Excellent
2781,2782,82.0,0.0,USA,14000000.0,25571351.0,3135,78.0,38.0,184,12.0,23.0,12.0,8.0,49,6.6,Good
138,139,90.0,0.0,USA,150000000.0,165230261.0,182718,209.0,284.0,20000,90.0,11000.0,10000.0,15.0,21015,7.3,Good
3275,3276,176.0,4.0,India,7217600.0,3047539.0,42296,286.0,50.0,12000,147.0,8000.0,3000.0,1000.0,13762,6.9,Good
156,157,90.0,1.0,USA,100000000.0,110332737.0,110788,258.0,135.0,2000,23.0,957.0,550.0,233.0,1997,6.1,Good
4062,4063,98.0,0.0,USA,3000000.0,24629916.0,12942,34.0,35.0,902,188.0,2000.0,970.0,693.0,4277,5.1,Fair
1491,1492,109.0,3.0,USA,35000000.0,10499968.0,47498,212.0,233.0,10000,453.0,1000.0,206.0,120.0,1458,5.7,Fair
3920,3921,110.0,6.0,USA,4000000.0,4301331.0,78241,177.0,51.0,0,99.0,4000.0,975.0,960.0,7921,6.7,Good
3099,3100,119.0,1.0,USA,13800000.0,52293982.0,57831,115.0,59.0,0,17000.0,10000.0,970.0,638.0,11895,7.0,Good
2560,2561,270.0,1.0,Sweden,25000000.0,,18041,54.0,34.0,0,5.0,908.0,690.0,292.0,2762,6.6,Good
4269,4270,100.0,2.0,USA,2000000.0,6531491.0,111658,297.0,365.0,20000,81.0,34000.0,248.0,179.0,34446,7.2,Good
152,153,115.0,1.0,USA,150000000.0,82161969.0,142440,505.0,287.0,3000,0.0,18000.0,12000.0,964.0,31523,6.3,Good
2107,2108,98.0,0.0,Canada,22000000.0,14252830.0,18900,242.0,93.0,0,4.0,3000.0,486.0,83.0,3769,5.3,Fair
4253,4254,87.0,0.0,Australia,2000000.0,9003011.0,133966,294.0,177.0,0,750.0,745.0,531.0,41.0,1396,7.6,Good
2297,2298,108.0,3.0,USA,20000000.0,8054280.0,6838,117.0,76.0,924,54.0,786.0,567.0,463.0,2730,6.3,Good
1370,1371,96.0,0.0,USA,37000000.0,60338891.0,248468,545.0,341.0,0,1000.0,24000.0,11000.0,681.0,36093,7.0,Good
2571,2572,125.0,2.0,USA,26000000.0,77324422.0,178731,261.0,68.0,0,438.0,18000.0,15000.0,372.0,33865,7.7,Good
3440,3441,106.0,3.0,USA,,10281585.0,21225,268.0,124.0,1000,14.0,827.0,545.0,161.0,1871,6.4,Good
264,265,127.0,1.0,USA,110000000.0,85463309.0,254841,426.0,327.0,36000,189.0,20000.0,929.0,544.0,22254,7.1,Good
604,605,118.0,7.0,USA,70000000.0,78031620.0,102248,403.0,371.0,34000,0.0,13000.0,13000.0,559.0,27674,6.1,Good
3561,3562,88.0,2.0,USA,6500000.0,13367101.0,19715,166.0,111.0,515,132.0,435.0,230.0,180.0,1140,5.9,Fair
4339,4340,88.0,0.0,USA,1250000.0,,2348,25.0,23.0,0,6.0,680.0,418.0,233.0,1425,3.4,Bad
3264,3265,98.0,0.0,USA,10500000.0,14114488.0,13190,114.0,66.0,616,17.0,1000.0,887.0,770.0,3827,4.5,Fair
2819,2820,101.0,0.0,USA,125000000.0,190871240.0,167089,491.0,348.0,62000,473.0,833.0,809.0,429.0,2690,5.9,Fair
1512,1513,139.0,3.0,USA,30000000.0,32000000.0,36267,150.0,56.0,0,17000.0,554.0,382.0,94.0,1068,7.2,Good
98,99,182.0,,USA,180000000.0,303001229.0,637246,1367.0,645.0,166000,0.0,5000.0,972.0,773.0,9152,7.9,Good
351,352,98.0,0.0,USA,90000000.0,250147615.0,403014,289.0,175.0,0,188.0,10000.0,826.0,602.0,12998,7.3,Good
411,412,83.0,1.0,USA,85000000.0,84303558.0,65270,100.0,107.0,863,28.0,4000.0,650.0,624.0,6081,6.2,Good
3234,3235,91.0,2.0,USA,10000000.0,19348.0,2941,11.0,23.0,370,7.0,12000.0,3000.0,875.0,16118,5.5,Fair
3227,3228,82.0,1.0,USA,10000000.0,131617.0,9971,119.0,79.0,661,216.0,1000.0,922.0,885.0,5761,6.3,Good
1931,1932,89.0,0.0,Canada,25000000.0,32368960.0,39768,292.0,114.0,0,31.0,285.0,81.0,71.0,667,5.3,Fair
3416,3417,98.0,4.0,UK,8000000.0,117190.0,29994,86.0,68.0,0,36.0,10000.0,692.0,405.0,11770,6.9,Good
4471,4472,82.0,3.0,USA,1300000.0,,5579,42.0,16.0,0,19.0,700.0,460.0,134.0,1499,2.7,Bad
2610,2611,154.0,0.0,USA,15000000.0,94175854.0,60988,199.0,70.0,6000,14000.0,852.0,581.0,271.0,2592,7.8,Good
