respon,predik1,predik2,predik3
16581,9,47.69,1012.03
11511,,,
632270,658,103.02,1118.78
51418,22,41.31,572.76
12135,8,64.42,2584.96
11354,,,
18167,2,10.24,450.38
142216,55,37.52,984.34
12142,8,63,259.88
21947,10,41.61,711.46
10448,2,18.97,749.31
31896,13,38.66,514.53
1630553,1109,63.94,
24174,1,3.91,273.42
18906,10,52.68,489.94
54052,1,1.86,57.79
95802,27,28.77,985.62
13989,3,21.62,259.44
28158,1,3.49,101.26
75491,21,30.05,728.32
13950,13,80.66,254.39
21265,9,42.31,239.75
19749,0,0,34.98
10582,2,18.59,55.76
736014,668,93.79,3081.26
22869,8,35.32,909.37
12388,5,23.98,105.5
77010,,,
84021,28,28.84,739.5
33840,33,81.73,321.96
53418,1,1.84,
12623,1,7.51,15.03
26506,3,10.78,441.95
27334,5,15.75,1726.58
52422,5,8.09,144
45061,3,6.56,373.88
27341,21,74.82,1304.02
25399,,,
46561,,,
24692,6,21.8,232.55
46951,35,65.36,524.76
43426,22,48.08,439.29
20075,3,14.93,154.31
10434,6,51.51,171.7
14061,5,32.36,271.86
90454,75,77.35,2169.92
23087,11,38.88,1124.03
26763,8,29.18,255.32
20586,,,
20592,31,138.62,2209.01
10005,5,49.07,2119.93
34438,10,27.59,331.04
11194,6,48.83,1000.98
17176,11,57.85,99.93
14583,2,13.4,247.89
73557,22,27.56,987.28
10092,,,
13030,0,0,45.13
13874,0,0,354.46
30326,6,18.84,1884.24
51881,16,30.41,309.78
23138,11,45.17,332.61
11041,,,
18405,,,
16113,3,16.24,167.79
39788,7,16.55,208.03
25787,5,18.87,264.12
22539,3,12.84,106.98
11354,2,16.59,348.32
25594,7,26.38,286.4
11952,8,62.56,742.94
43877,11,27.18,353.39
17460,2,10.78,803.36
13279,0,0,84.88
22205,1,4.23,346.72
610337,725,117.13,1633.81
19460,5,25.22,786.89
12823,3,22.53,360.5
36676,16,42.39,267.59
18219,3,15.83,538.17
12183,4,31.73,499.72
15624,,,
15076,6,34.04,198.58
50618,16,22.04,410.47
21507,5,21.63,1276.17
35308,2,5.29,58.2
11873,0,0,143.18
122700,,,
30093,4,12.9,206.47
58724,18,30.05,1644.35
12257,9,73.53,1282.68
47923,5,8.92,194.49
13241,4,30.14,97.97
19505,7,32.41,541.74
11804,4,33.21,838.59
26866,30,128.6,3364.91
27725,7,23.69,700.63
74625,16,18.11,320.3
32921,14,37.57,880.21
16370,6,33.84,428.7
11265,,,
13894,,,
61284,39,58.86,774.19
112301,51,45.28,581.49
15085,4,22.63,503.48
39983,3,12.87,111.56
11656,9,73.81,459.24
28082,12,38.84,233.06
13178,5,37.07,378.11
35481,4,10.74,217.44
37446,,,
24453,5,37.21,238.15
77671,15,15.53,453.49
10531,0,0,27.66
13176,,,
10592,1,8.39,377.36
110330,12,9.5,111.68
17173,2,12.31,215.44
41967,18,44.25,1214.45
23219,2,8.14,174.98
100217,16,14.89,237.24
36427,,,
21816,1,4.13,78.56
48622,2,4.28,529.02
10639,10,92.6,1444.58
21044,9,41.68,926.23
17301,1,5.61,61.66
13790,2,14.1,155.09
34874,8,22.22,433.21
19757,3,14.78,88.69
19027,0,0,11.72
53797,35,62.43,285.38
55002,54,87.24,827.14
10398,5,43.58,278.92
19378,0,0,2008.66
21652,3,13.65,450.45
26359,20,76.25,236.38
13035,1,7.36,368.19
16312,11,60.13,825.36
24720,0,0,39.02
29038,2,6.68,624.31
193187,84,42.97,461.42
31300,6,19.96,123.1
75728,,,
14288,4,27.65,214.31
60110,1,1.66,225.99
22207,,,
13900,6,40.21,134.03
23788,,,
50418,19,31.97,395.44
26687,5,18.21,284.14
12967,8,52.16,508.57
12038,6,50.83,118.6
11739,4,30.37,258.16
10795,1,8.5,25.51
15238,0,0,478.65
51266,17,31.52,904.83
15820,5,31.34,532.85
11997,0,0,24.59
29563,14,42.96,589.14
131591,44,32.63,1280.74
28334,15,53.87,506.39
17366,2,9.81,853.28
14369,0,0,123.17
10687,1,8.96,456.87
10033,5,47.29,397.28
16491,12,65.47,1964.1
43264,29,67.62,1587.93
16270,3,17.21,45.89
15346,5,30.13,391.64
43929,19,37.07,345.37
288091,111,34.19,719.23
14133,3,20.37,312.39
12747,,,
11631,,,
18100,8,36.19,389.09
280039,5,8.9,377.37
10325,2,19.1,257.86
18601,2,10.24,962.82
22987,0,0,124.69
133793,49,34.74,455.92
14789,1,6.67,93.44
49188,23,49.71,3834.1
70811,,,
10753,0,0,36.91
226338,212,83.63,872.98
155037,67,39.88,401.73
25001,20,76.72,1331.08
12563,0,0,31.51
37708,39,99.49,1153.03
23916,6,21.87,127.57
94440,50,48.58,869.6
15698,3,17.96,173.57
25265,8,24.28,203.33
22631,21,90.47,1391.58
12053,1,8.17,384.21
32893,1,2.75,27.49
34378,23,59.63,956.68
37986,46,125.16,3583.48
50689,12,20.42,345.39
22282,7,29.81,711.12
11712,2,17.12,231.16
11999,1,8.19,147.49
38936,,,
17737,10,52.19,506.21
10497,1,9.24,535.75
25746,4,15.37,211.4
13404,10,70.42,521.09
54249,31,53.61,1469.9
12767,0,0,68.39
15696,7,37.63,188.13
56741,11,17.27,314.07
11026,1,8.71,235.07
17655,4,21.49,96.73
36094,23,54.99,920.55
44922,11,21.51,791.96
73233,,,
11314,,,
11451,10,83.83,1064.63
33685,9,23.22,278.64
19278,,,
33233,0,0,67.2
12841,18,98.99,824.95
16761,4,22.2,155.37
24127,3,11.87,166.15
47025,9,18.22,125.54
77211,46,54.63,951.34
10026,14,120.54,1334.6
14312,0,0,48.01
27702,4,13.19,98.95
37049,12,31.89,441.08
18697,1,3.94,204.68
12179,0,0,56.51
29696,11,35.25,474.31
354202,216,55.6,1418.55
98962,28,24.34,953.67
14062,13,87.78,1215.48
114144,36,30.65,530.44
12101,10,77.86,537.26
22247,1,4.44,84.35
105090,42,39.81,681.43
18177,0,0,96.47
10830,0,0,85.9
16362,2,10.65,628.09
18059,5,28.19,84.57
29105,8,24.61,495.28
116646,174,150.95,2154.96
84236,53,63.42,1395.22
13864,3,20.41,292.52
14748,3,20.05,106.96
17894,9,43.58,266.29
36830,50,133.92,2581.96
29040,4,13.82,1088.12
47039,13,26.94,155.42
19564,7,32.73,149.6
18387,13,67.96,695.28
24800,11,43.04,297.37
14207,0,0,306.54
25276,15,57.27,832.32
37826,,,
15714,3,17.73,212.73
22141,0,0,78.94
18403,2,11.02,346.99
11865,1,8.4,84.02
11312,4,28.51,171.06
12863,5,38.6,108.07
141865,65,43.52,556.4
14475,11,66.56,1240.39
11530,3,23.65,212.83
14558,1,7.22,130.01
30981,13,39.3,447.45
17728,0,0,54.99
13176,10,77.42,487.73
49848,2,3.94,76.92
28658,13,46.39,1227.61
12060,11,82.43,771.88
11427,0,0,43.71
28132,4,13,454.84
51003,7,13.65,74.09
21822,0,0,163.75
14939,0,0,906.29
65410,,,
18871,13,69.03,1093.88
46325,25,52.56,832.58
15004,6,33.88,112.94
17350,15,81.46,657.11
10982,2,17.5,236.22
18893,3,14.49,270.39
24587,,,
269063,135,49.52,999.13
27557,3,10.57,144.44
12765,10,78.2,594.35
45549,48,107.7,2344.68
80414,35,45.43,1283.7
24410,0,0,121.07
64358,61,98.7,673.11
13496,6,45.26,165.96
53549,30,55.45,275.38
24638,1,3.56,259.69
15115,3,20.59,253.89
20079,1,4.72,33.01
12362,,,
13559,3,18.99,126.61
136611,109,74.67,1169.38
15989,0,0,43.13
10074,2,18.94,170.42
12291,3,22.85,358.01
23928,10,37.17,479.52
46079,16,30.62,673.62
19082,15,68.72,1392.77
24927,14,55.19,204.97
20608,2,9.69,67.86
35309,4,11.07,182.6
16376,2,11.49,155.08
24631,9,36.66,93.7
108056,22,20.52,500.94
11452,4,29.98,134.91
42155,32,65.45,380.43
12541,,,
11628,1,8.59,68.71
14396,6,42.31,366.66
78331,10,12.7,412.91
364040,449,124.81,1562.48
21249,1,4.43,159.32
24426,14,54.56,911.96
20976,,,
27256,25,92.24,1660.33
12358,0,0,137.42
258295,435,60.63,1014.86
